number,name,year,pic,dnt,rat,desc,footer,v_g
33.,Wind River,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 107 min Crime, Drama, Mystery",7.8     Rate this            1 2 3 4 5 6 7 8 9 10  7.8/10 X      73  Metascore,"
A veteran tracker with the Fish and Wildlife Service helps to investigate the murder of a young Native American woman, and uses the case as a means of seeking redemption for an earlier act of irresponsibility which ended in tragedy.","Director:Taylor Sheridan, Stars:Kelsey Asbille, Jeremy Renner, Julia Jones, Teo Briones","Votes:118,797 Gross:$33.80M"
34.,Atomic Blonde,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 115 min Action, Mystery, Thriller",6.7     Rate this            1 2 3 4 5 6 7 8 9 10  6.7/10 X      63  Metascore,"
An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.","Director:David Leitch, Stars:Charlize Theron, James McAvoy, John Goodman, Eddie Marsan","Votes:117,571 Gross:$51.57M"
35.,Mother!,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 121 min Drama, Horror, Mystery",6.7     Rate this            1 2 3 4 5 6 7 8 9 10  6.7/10 X      75  Metascore,"
A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","Director:Darren Aronofsky, Stars:Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer","Votes:113,676 Gross:$17.80M"
36.,Lady Bird,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 94 min Comedy, Drama",7.5     Rate this            1 2 3 4 5 6 7 8 9 10  7.5/10 X,"
In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.","Director:Greta Gerwig, Stars:Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges","Votes:113,319 Gross:$48.96M"
37.,Valerian and the City of a Thousand Planets,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 137 min Action, Adventure, Fantasy",6.5     Rate this            1 2 3 4 5 6 7 8 9 10  6.5/10 X      51  Metascore,"
A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.","Director:Luc Besson, Stars:Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna","Votes:112,890 Gross:$40.48M"
38.,The Greatest Showman,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"UA 105 min Biography, Drama, Musical",7.8     Rate this            1 2 3 4 5 6 7 8 9 10  7.8/10 X      48  Metascore,"
Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.","Director:Michael Gracey, Stars:Hugh Jackman, Michelle Williams, Zac Efron, Zendaya","Votes:108,047 Gross:$173.38M"
39.,Baywatch,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 116 min Action, Comedy, Crime",5.6     Rate this            1 2 3 4 5 6 7 8 9 10  5.6/10 X      37  Metascore,"
Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","Director:Seth Gordon, Stars:Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra","Votes:100,121 Gross:$58.06M"
40.,Call Me by Your Name,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 132 min Drama, Romance",8.0     Rate this            1 2 3 4 5 6 7 8 9 10  8/10 X      93  Metascore,"
In 1980s Italy, a romance blossoms between a seventeen year-old student and the older man hired as his father's research assistant.","Director:Luca Guadagnino, Stars:Armie Hammer, Timothée Chalamet, Michael Stuhlbarg, Amira Casar","Votes:99,516 Gross:$18.08M"
41.,The LEGO Batman Movie,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG 104 min Animation, Action, Adventure",7.3     Rate this            1 2 3 4 5 6 7 8 9 10  7.3/10 X      75  Metascore,"
A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","Director:Chris McKay, Stars:Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes","Votes:98,045 Gross:$175.75M"
42.,Transformers: The Last Knight,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 154 min Action, Adventure, Sci-Fi",5.2     Rate this            1 2 3 4 5 6 7 8 9 10  5.2/10 X      27  Metascore,"
Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.","Director:Michael Bay, Stars:Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock","Votes:95,954 Gross:$130.17M"
43.,The Punisher,(2017– ),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"53 min Action, Adventure, Crime",8.7     Rate this            1 2 3 4 5 6 7 8 9 10  8.7/10 X,"
After the murder of his family, Marine veteran Frank Castle became a vigilante known as ""The Punisher"" with only one goal in mind, to avenge them.","Stars:Jon Bernthal, Amber Rose Revah, Ebon Moss-Bachrach, Ben Barnes","Votes:94,845"
44.,American Made,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 115 min Action, Biography, Comedy",7.2     Rate this            1 2 3 4 5 6 7 8 9 10  7.2/10 X      65  Metascore,"
The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.","Director:Doug Liman, Stars:Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons","Votes:94,691 Gross:$51.34M"
45.,Darkest Hour,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 125 min Biography, Drama, History",7.4     Rate this            1 2 3 4 5 6 7 8 9 10  7.4/10 X      75  Metascore,"
In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire.","Director:Joe Wright, Stars:Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn","Votes:90,321 Gross:$56.44M"
46.,The Dark Tower,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"PG-13 95 min Action, Adventure, Fantasy",5.7     Rate this            1 2 3 4 5 6 7 8 9 10  5.7/10 X      34  Metascore,"
The last Gunslinger, Roland Deschain, has been locked in an eternal battle with Walter O'Dim, also known as the Man in Black, determined to prevent him from toppling the Dark Tower, which holds the universe together. With the fate of the worlds at stake, good and evil will collide in the ultimate battle as only Roland can defend the Tower from the Man in Black.","Director:Nikolaj Arcel, Stars:Idris Elba, Matthew McConaughey, Tom Taylor, Dennis Haysbert","Votes:86,784 Gross:$50.70M"
47.,Taboo,(2017– ),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"59 min Drama, Mystery, Thriller",8.5     Rate this            1 2 3 4 5 6 7 8 9 10  8.5/10 X,"
Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost - even murder.","Stars:Tom Hardy, David Hayman, Jonathan Pryce, Oona Chaplin","Votes:83,888"
48.,The Big Sick,(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 120 min Comedy, Drama, Romance",7.6     Rate this            1 2 3 4 5 6 7 8 9 10  7.6/10 X      86  Metascore,"
Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.","Director:Michael Showalter, Stars:Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano","Votes:82,585 Gross:$42.87M"
49.,Mindhunter,(2017– ),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"60 min Crime, Drama, Thriller",8.6     Rate this            1 2 3 4 5 6 7 8 9 10  8.6/10 X,"
In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.","Stars:Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross","Votes:82,491"
50.,"I, Tonya",(2017),https://images-na.ssl-images-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB499613450_.png,"R 120 min Biography, Comedy, Drama",7.6     Rate this            1 2 3 4 5 6 7 8 9 10  7.6/10 X      77  Metascore,"
Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.","Director:Craig Gillespie, Stars:Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson","Votes:81,544 Gross:$30.01M"
